[0.00094229733718464992, 0.015053182569807477]
[0.00094229733718464992, 0.015053182569807477]
[0.0017990327241372839, 0.014226677585069014]
[0.0037293023560476257, 0.0094736161223680782]
[0.0035935425091715434, 0.010249248815952239]
[0.0035935425091715434, 0.010249248815952239]
[0.0016569752126607273, 0.015472238371026403]
[0.0016569752126607273, 0.015472238371026403]
[0.0052726888548448869, 0.017089339040548879]
[0.0057827814145530176, 0.017601790997331168]
[0.0052726888548448869, 0.017089339040548879]
[0.0057827814145530176, 0.017601790997331168]
[0.0057827814145530176, 0.017601790997331168]
[0.0037984445754881691, 0.019282665520159226]
[0.0018092003548959568, 0.017014725203998937]
[-0.00049378081940676388, 0.009938606512871706]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
[-0.0022824698372023722, 0.018513125913024009]
